# DATASET 12 - POPULATION / SETTLEMENT - METTUR / CAUVERY
# Primary authoritative source: Office of the Registrar General & Census Commissioner, India (Census 2011 / PCA).
# Census 2011 provides village/town/sub-district population indicators; it is the authoritative baseline currently available in this source family.
# No fabricated village population, current population, coordinates, or settlement polygons are included.
# Actual Mettur-Cauvery records should be filtered from the official Tamil Nadu village/town dataset and spatially joined to Dataset 14 geometry.

Dataset,Topic,Record_Type,Source_or_Layer,Data_Item,AOI,Temporal_Scope,Purpose_or_Limitation,Source_or_Reference
Dataset 12,Population / Settlement,Primary population dataset,"Office of the Registrar General & Census Commissioner, India (Census 2011)",Primary Census Abstract (PCA) - State/District/Sub-District/Village,Tamil Nadu; village and town level,2011,"Official population counts for villages/towns; includes households, total/male/female population, age 0-6, literacy, SC/ST and work-status indicators",https://censusindia.gov.in/census.website/en/data/population-finder
Dataset 12,Population / Settlement,Downloadable national source,ORGI Census Digital Library,Basic Population Figures of India/State/District/Sub-District/Village - 2011,India including Tamil Nadu,2011,Official downloadable spreadsheet containing village-level basic population figures,https://censusindia.gov.in/nada/index.php/catalog/42554
Dataset 12,Population / Settlement,Population Finder,ORGI Census India,Population Finder 2011,Tamil Nadu / selected villages,2011,Can retrieve village/sub-district population indicators and export data in CSV,https://censusindia.gov.in/census.website/en/data/population-finder
Dataset 12,Population / Settlement,Core indicators,ORGI Census 2011 PCA,Households,Mettur-Cauvery study settlements,2011,Household count for exposure estimation,https://censusindia.gov.in/census.website/en/data/population-finder
Dataset 12,Population / Settlement,Core indicators,ORGI Census 2011 PCA,Population - Total,Mettur-Cauvery study settlements,2011,Primary population exposure variable,https://censusindia.gov.in/census.website/en/data/population-finder
Dataset 12,Population / Settlement,Core indicators,ORGI Census 2011 PCA,Population - Male / Female,Mettur-Cauvery study settlements,2011,Demographic exposure breakdown,https://censusindia.gov.in/census.website/en/data/population-finder
Dataset 12,Population / Settlement,Core indicators,ORGI Census 2011 PCA,Population 0-6 years,Mettur-Cauvery study settlements,2011,Vulnerable-age-group indicator for HADR planning,https://censusindia.gov.in/census.website/en/data/population-finder
Dataset 12,Population / Settlement,Core indicators,ORGI Census 2011 PCA,Literacy / Illiteracy,Mettur-Cauvery study settlements,2011,Supporting socioeconomic indicator; not a direct flood-model input,https://censusindia.gov.in/census.website/en/data/population-finder
Dataset 12,Population / Settlement,Settlement geometry,Project GIS,Village/town boundaries or point locations,Mettur-Cauvery study area,Use current authoritative boundary layer when available,Population records must eventually be spatially joined to Dataset 14 administrative/village geometry,Project Dataset 14
Dataset 12,Population / Settlement,Spatial processing,DAM-SAFE,Village/town polygon or representative point + census attributes,Mettur-Cauvery study area,After Dataset 14 is finalized,Join Census population attributes to the actual settlement geometry; do not invent coordinates,Project Dataset 14
Dataset 12,Population / Settlement,Flood exposure output,DAM-SAFE,Population intersected with flood depth,Mettur-Cauvery floodplain,After Delft3D simulation,Estimate population exposed by flood extent/depth; methodology must be documented because Census 2011 is not a current 2026 population estimate,Project processing pipeline
Dataset 12,Population / Settlement,Temporal limitation,DAM-SAFE,Census baseline,India/Tamil Nadu,2011,Census 2011 is the authoritative baseline currently available; do not silently treat it as 2026 population,ORGI Census 2011
