# DATASET 16 - SUPPORTING WEATHER / HYDROMETEOROLOGICAL DATA - METTUR / CAUVERY
# Primary source: Copernicus/ECMWF ERA5 and ERA5-Land reanalysis.
# NASA POWER is retained as an independent supplementary source.
# No fabricated weather observations are included. Actual time-series values must be downloaded from the official services.
# Dataset 5 observed rainfall and Dataset 6 observed discharge remain higher-priority observed data where available.

Dataset,Topic,Record_Type,Variable_or_Product,Dataset_Item,AOI,Temporal_Scope,Purpose_or_Rule,Source_or_Reference
Dataset 16,Supporting hydrometeorological data,Primary reanalysis,Copernicus Climate Change Service / ECMWF,ERA5 hourly single levels,Mettur-Cauvery AOI,1940-present,"Consistent hourly atmospheric/land-surface variables for supporting meteorology, event analysis and model boundary/forcing where scientifically appropriate",https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels
Dataset 16,Supporting hydrometeorological data,Land-focused reanalysis,Copernicus Climate Change Service / ECMWF,ERA5-Land hourly,Mettur-Cauvery AOI,1950-present,Higher-resolution land-surface reanalysis useful for land-surface and hydrometeorological analysis,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land
Dataset 16,Meteorological variable,Temperature,ERA5,2 m air temperature,Mettur-Cauvery AOI,Hourly,Supporting weather condition and evaporation/energy analysis; not automatically a Delft3D boundary input,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels
Dataset 16,Meteorological variable,Humidity,ERA5,2 m dewpoint temperature / derived relative humidity,Mettur-Cauvery AOI,Hourly,Atmospheric moisture characterization and supporting analysis,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels
Dataset 16,Meteorological variable,Wind,ERA5,10 m u/v wind or wind speed/direction,Mettur-Cauvery AOI,Hourly,Wind forcing/supporting analysis where needed; retain vector components for reproducibility,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels
Dataset 16,Meteorological variable,Pressure,ERA5,Surface pressure,Mettur-Cauvery AOI,Hourly,Supporting atmospheric conditions and model diagnostics,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels
Dataset 16,Meteorological variable,Solar radiation,ERA5,Surface solar radiation downwards,Mettur-Cauvery AOI,Hourly,Supporting evapotranspiration/energy analysis; not a primary dam-break input,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels
Dataset 16,Meteorological variable,Precipitation,ERA5,Total precipitation,Mettur-Cauvery AOI,Hourly,Supporting cross-check with Dataset 5 rainfall; Dataset 5 remains the primary observed rainfall source,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels
Dataset 16,Hydrological supporting variable,Surface runoff,ERA5 / ERA5-Land,Surface runoff,Mettur-Cauvery AOI,Hourly,Supporting hydrological interpretation; do not substitute for observed river discharge in Dataset 6,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land
Dataset 16,Alternative meteorological source,NASA POWER,NASA Langley Research Center,POWER solar/meteorological parameters,Mettur-Cauvery AOI,Depends on parameter/product,Independent supplementary meteorological source for cross-checking selected variables,https://power.larc.nasa.gov/
Dataset 16,Spatial resolution,ERA5,Copernicus/ECMWF,0.25° x 0.25° atmospheric grid,Mettur-Cauvery AOI,Hourly,Use with awareness that it is coarser than the 30 m DEM and local station observations,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels
Dataset 16,Temporal resolution,ERA5 time series,Copernicus/ECMWF,Hourly; CSV/NetCDF available for time-series catalogue,Mettur-Cauvery AOI,1940-present,Convenient for extracting a consistent point/grid time series,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-single-levels-timeseries
Dataset 16,Project integration,Rainfall priority,DAM-SAFE,Observed TN rainfall + ERA5 cross-check,Mettur-Cauvery AOI,Dataset 5 coverage,Do not replace Dataset 5 observed rainfall with reanalysis unless a documented modelling reason exists,Project Dataset 5
Dataset 16,Project integration,Discharge priority,DAM-SAFE,Observed CWC/TN discharge + ERA5 support,Mettur-Cauvery AOI,Dataset 6 coverage,Do not replace Dataset 6 observed discharge with runoff reanalysis,Project Dataset 6
Dataset 16,Project integration,Model use,DAM-SAFE,NetCDF/CSV + derived GIS layers,Mettur-Cauvery AOI,Selected simulation periods,Use only variables that are scientifically required by the chosen Delft3D-FM setup; many are validation/supporting variables rather than direct dam-break inputs,Project modelling pipeline
