Field,Value
Dataset,Dataset 5 - Tamil Nadu Telemetry Hourly Rainfall
Purpose,Rainfall input/reference for Mettur Dam - Cauvery flood workflow
Source,Tamil Nadu Surface Water and Ground Water Department via National Water Data Portal
Files combined,3
Rows after exact-deduplication,175735
Exact duplicate rows removed,0
Columns,20
Unique stations,145
Observed minimum timestamp,2003-04-24 10:00:00
Observed maximum timestamp,2026-09-05 23:00:00
Important quality note,"The file labelled 1991-2020 contains only 30 records, with observed timestamps from 2003-04-24 to 2014-03-26. It is preserved as supplied; no missing years were fabricated."
2021-2025 file,161593 rows supplied
2026-2030 file,14112 rows supplied
Use in Antigravity,Filter stations spatially by the Mettur/Cauvery study area; aggregate hourly rainfall as required; retain source provenance.
