Parameter,Value
Dam Name,Mettur Dam
River,Cauvery (Kaveri)
Latitude,11°48′11″ N
Longitude,77°48′24″ E
Dam Length,5300 ft
Maximum Height,214 ft
Maximum Width,171 ft
Top Width,20 ft 5 in
Road Width on Top,16 ft
Tunnel Length,4400 ft
Maximum Reservoir Height,165 ft
Usable Water Height,120 ft
Total Capacity,"95,660 million cubic ft"
Effective Capacity,"93,470 million cubic ft"
Reservoir Length at FRL,33 miles
Maximum Water Spread Area,59.25 sq miles
Catchment Area,"16,300 sq miles"
Spillway Gates,16 × 60 ft × 20 ft
Upper-level Gates,8 × 10.6 ft × 16 ft
Lower-level Gates,5 × 7 ft × 14 ft
Dam Powerhouse,4 turbines
Tunnel Powerhouse,4 turbines
