water_year,opening_date,opening_level_ft,opening_storage_TMC,total_inflow_TMC,total_outflow_TMC,closing_date,closing_level_ft,closing_storage_TMC,surplus_flow_TMC,source,source_url
1977-1978,15.07.77,59.0,23.95,304.74,299.2,,38.38,11.27,37.49,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
1978-1979,05.07.78,82.65,44.65,380.93,356.32,,72.2,34.62,21.32,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
1979-1980,12.06.79,87.83,50.2,324.41,302.62,,99.28,63.91,29.3,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
1980-1981,12.06.80,102.18,67.69,394.01,436.44,,44.35,14.44,69.2,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
1981-1982,11.07.81,81.4,43.37,403.2,392.47,,51.4,25.74,96.67,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
1982-1983,21.06.82,72.95,35.29,173.1,195.3,,17.38,3.37,0.0,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
1983-1984,17.06.83,86.8,49.07,230.37,196.74,,61.7,25.97,0.0,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
1984-1985,12.06.84,81.05,43.01,384.36,316.2,,34.63,9.49,0.0,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
1985-1986,08.07.85,68.75,31.64,158.28,164.43,,12.9,2.6,0.0,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
1986-1987,21.08.86,96.3,60.15,187.36,187.52,,21.45,4.53,0.0,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
1987-1988,09.11.87,82.0,43.98,103.9,93.94,,26.0,6.03,0.0,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
1988-1989,07.08.88,74.75,36.92,181.37,188.09,,17.05,3.29,0.0,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
1989-1990,20.08.89,88.0,50.87,175.64,167.25,,22.2,4.77,0.0,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
1990-1991,22.08.90,82.95,44.8,143.61,148.23,,25.9,5.94,0.0,"Tamil Nadu Government Agrisnet, VII.10 Mettur Reservoir Opening & Closing Details",https://www.tnagrisnet.tn.gov.in/dashboard/report/07_10.pdf
