# DATA_STATUS=DUMMY_FOR_PROTOTYPE | SCIENTIFIC_USE=FALSE | PROTOTYPE BED PROFILE ASSUMPTION
chainage_m,longitude,latitude,dem_elevation_m_msl,bed_invert_m_msl,channel_depth_m,data_status
0,77.8016,11.8016,150.0,142.0,8.0,DUMMY_FOR_PROTOTYPE
6000,77.7922,11.7504,142.5,134.5,8.0,DUMMY_FOR_PROTOTYPE
12000,77.7828,11.6992,135.0,127.0,8.0,DUMMY_FOR_PROTOTYPE
18000,77.7734,11.648,127.5,119.5,8.0,DUMMY_FOR_PROTOTYPE
24000,77.764,11.5968,120.0,112.0,8.0,DUMMY_FOR_PROTOTYPE
30000,77.7546,11.5456,112.5,104.5,8.0,DUMMY_FOR_PROTOTYPE
36000,77.7452,11.4944,105.0,97.0,8.0,DUMMY_FOR_PROTOTYPE
42000,77.7358,11.4432,97.5,89.5,8.0,DUMMY_FOR_PROTOTYPE
48000,77.7264,11.392,90.0,82.0,8.0,DUMMY_FOR_PROTOTYPE
54000,77.717,11.3408,82.5,74.5,8.0,DUMMY_FOR_PROTOTYPE
