# DATA_STATUS=DUMMY_FOR_PROTOTYPE | SCIENTIFIC_USE=FALSE | PROTOTYPE BREACH HYDROGRAPH
time_hours,discharge_cumecs,water_level_m_msl,data_status
0.0,2000.0,49.9,DUMMY_FOR_PROTOTYPE
0.5,3500.0,50.2,DUMMY_FOR_PROTOTYPE
1.0,5000.0,50.5,DUMMY_FOR_PROTOTYPE
1.5,11250.0,51.75,DUMMY_FOR_PROTOTYPE
2.0,17500.0,53.0,DUMMY_FOR_PROTOTYPE
2.5,23750.0,54.25,DUMMY_FOR_PROTOTYPE
3.0,30000.0,55.5,DUMMY_FOR_PROTOTYPE
3.5,26000.0,54.7,DUMMY_FOR_PROTOTYPE
4.0,22000.0,53.9,DUMMY_FOR_PROTOTYPE
4.5,18000.0,53.1,DUMMY_FOR_PROTOTYPE
5.0,14000.0,52.3,DUMMY_FOR_PROTOTYPE
5.5,10000.0,51.5,DUMMY_FOR_PROTOTYPE
6.0,6000.0,50.7,DUMMY_FOR_PROTOTYPE
